codepoint;char;quotableStartChar;quotableChar
253;ý;0;0
254;þ;0;0
255;ÿ;0;0
256;Ā;0;0
257;ā;0;0
258;Ă;0;0
259;ă;0;0
260;Ą;0;0
261;ą;0;0
262;Ć;0;0
263;ć;0;0
264;Ĉ;0;0
265;ĉ;0;0
266;Ċ;0;0
267;ċ;0;0
268;Č;0;0
269;č;0;0
270;Ď;0;0
271;ď;0;0
272;Đ;0;0
273;đ;0;0
274;Ē;0;0
275;ē;0;0
276;Ĕ;0;0
277;ĕ;0;0
278;Ė;0;0
279;ė;0;0
280;Ę;0;0
281;ę;0;0
282;Ě;0;0
283;ě;0;0
284;Ĝ;0;0
285;ĝ;0;0
286;Ğ;0;0
287;ğ;0;0
288;Ġ;0;0
289;ġ;0;0
290;Ģ;0;0
291;ģ;0;0
292;Ĥ;0;0
293;ĥ;0;0
294;Ħ;0;0
295;ħ;0;0
296;Ĩ;0;0
297;ĩ;0;0
298;Ī;0;0
299;ī;0;0
300;Ĭ;0;0
301;ĭ;0;0
302;Į;0;0
303;į;0;0
304;İ;0;0
305;ı;0;0
306;Ĳ;0;0
307;ĳ;0;0
308;Ĵ;0;0
309;ĵ;0;0
310;Ķ;0;0
311;ķ;0;0
312;ĸ;0;0
313;Ĺ;0;0
314;ĺ;0;0
315;Ļ;0;0
316;ļ;0;0
317;Ľ;0;0
318;ľ;0;0
319;Ŀ;0;0
320;ŀ;0;0
321;Ł;0;0
322;ł;0;0
323;Ń;0;0
324;ń;0;0
325;Ņ;0;0
326;ņ;0;0
327;Ň;0;0
328;ň;0;0
329;ŉ;0;0
330;Ŋ;0;0
331;ŋ;0;0
332;Ō;0;0
333;ō;0;0
334;Ŏ;0;0
335;ŏ;0;0
336;Ő;0;0
337;ő;0;0
338;Œ;0;0
339;œ;0;0
340;Ŕ;0;0
341;ŕ;0;0
342;Ŗ;0;0
343;ŗ;0;0
344;Ř;0;0
345;ř;0;0
346;Ś;0;0
347;ś;0;0
348;Ŝ;0;0
349;ŝ;0;0
350;Ş;0;0
351;ş;0;0
352;Š;0;0
353;š;0;0
354;Ţ;0;0
355;ţ;0;0
356;Ť;0;0
357;ť;0;0
358;Ŧ;0;0
359;ŧ;0;0
360;Ũ;0;0
361;ũ;0;0
362;Ū;0;0
363;ū;0;0
364;Ŭ;0;0
365;ŭ;0;0
366;Ů;0;0
367;ů;0;0
368;Ű;0;0
369;ű;0;0
370;Ų;0;0
371;ų;0;0
372;Ŵ;0;0
373;ŵ;0;0
374;Ŷ;0;0
375;ŷ;0;0
376;Ÿ;0;0
377;Ź;0;0
378;ź;0;0
379;Ż;0;0
380;ż;0;0
381;Ž;0;0
382;ž;0;0
383;ſ;0;0
384;ƀ;0;0
385;Ɓ;0;0
386;Ƃ;0;0
387;ƃ;0;0
388;Ƅ;0;0
389;ƅ;0;0
390;Ɔ;0;0
391;Ƈ;0;0
392;ƈ;0;0
393;Ɖ;0;0
394;Ɗ;0;0
395;Ƌ;0;0
396;ƌ;0;0
397;ƍ;0;0
398;Ǝ;0;0
399;Ə;0;0
400;Ɛ;0;0
401;Ƒ;0;0
402;ƒ;0;0
403;Ɠ;0;0
404;Ɣ;0;0
405;ƕ;0;0
406;Ɩ;0;0
407;Ɨ;0;0
408;Ƙ;0;0
409;ƙ;0;0
410;ƚ;0;0
411;ƛ;0;0
412;Ɯ;0;0
413;Ɲ;0;0
414;ƞ;0;0
415;Ɵ;0;0
416;Ơ;0;0
417;ơ;0;0
418;Ƣ;0;0
419;ƣ;0;0
420;Ƥ;0;0
421;ƥ;0;0
422;Ʀ;0;0
423;Ƨ;0;0
424;ƨ;0;0
425;Ʃ;0;0
426;ƪ;0;0
427;ƫ;0;0
428;Ƭ;0;0
429;ƭ;0;0
430;Ʈ;0;0
431;Ư;0;0
432;ư;0;0
433;Ʊ;0;0
434;Ʋ;0;0
435;Ƴ;0;0
436;ƴ;0;0
437;Ƶ;0;0
438;ƶ;0;0
439;Ʒ;0;0
440;Ƹ;0;0
441;ƹ;0;0
442;ƺ;0;0
443;ƻ;0;0
444;Ƽ;0;0
445;ƽ;0;0
446;ƾ;0;0
447;ƿ;0;0
448;ǀ;0;0
449;ǁ;0;0
450;ǂ;0;0
451;ǃ;0;0
452;Ǆ;0;0
453;ǅ;0;0
454;ǆ;0;0
455;Ǉ;0;0
456;ǈ;0;0
457;ǉ;0;0
458;Ǌ;0;0
459;ǋ;0;0
460;ǌ;0;0
461;Ǎ;0;0
462;ǎ;0;0
463;Ǐ;0;0
464;ǐ;0;0
465;Ǒ;0;0
466;ǒ;0;0
467;Ǔ;0;0
468;ǔ;0;0
469;Ǖ;0;0
470;ǖ;0;0
471;Ǘ;0;0
472;ǘ;0;0
473;Ǚ;0;0
474;ǚ;0;0
475;Ǜ;0;0
476;ǜ;0;0
477;ǝ;0;0
478;Ǟ;0;0
479;ǟ;0;0
480;Ǡ;0;0
481;ǡ;0;0
482;Ǣ;0;0
483;ǣ;0;0
484;Ǥ;0;0
485;ǥ;0;0
486;Ǧ;0;0
487;ǧ;0;0
488;Ǩ;0;0
489;ǩ;0;0
490;Ǫ;0;0
491;ǫ;0;0
492;Ǭ;0;0
493;ǭ;0;0
494;Ǯ;0;0
495;ǯ;0;0
496;ǰ;0;0
497;Ǳ;0;0
498;ǲ;0;0
499;ǳ;0;0
500;Ǵ;0;0
501;ǵ;0;0
502;Ƕ;0;0
503;Ƿ;0;0
504;Ǹ;0;0
505;ǹ;0;0
506;Ǻ;0;0
507;ǻ;0;0
508;Ǽ;0;0
509;ǽ;0;0
510;Ǿ;0;0
511;ǿ;0;0
512;Ȁ;0;0
513;ȁ;0;0
514;Ȃ;0;0
515;ȃ;0;0
516;Ȅ;0;0
517;ȅ;0;0
518;Ȇ;0;0
519;ȇ;0;0
520;Ȉ;0;0
521;ȉ;0;0
522;Ȋ;0;0
523;ȋ;0;0
524;Ȍ;0;0
525;ȍ;0;0
526;Ȏ;0;0
527;ȏ;0;0
528;Ȑ;0;0
529;ȑ;0;0
530;Ȓ;0;0
531;ȓ;0;0
532;Ȕ;0;0
533;ȕ;0;0
534;Ȗ;0;0
535;ȗ;0;0
536;Ș;0;0
537;ș;0;0
538;Ț;0;0
539;ț;0;0
540;Ȝ;0;0
541;ȝ;0;0
542;Ȟ;0;0
543;ȟ;0;0
544;Ƞ;0;0
545;ȡ;0;0
546;Ȣ;0;0
547;ȣ;0;0
548;Ȥ;0;0
549;ȥ;0;0
550;Ȧ;0;0
551;ȧ;0;0
552;Ȩ;0;0
553;ȩ;0;0
554;Ȫ;0;0
555;ȫ;0;0
556;Ȭ;0;0
557;ȭ;0;0
558;Ȯ;0;0
559;ȯ;0;0
560;Ȱ;0;0
561;ȱ;0;0
562;Ȳ;0;0
563;ȳ;0;0
564;ȴ;0;0
565;ȵ;0;0
566;ȶ;0;0
567;ȷ;0;0
568;ȸ;0;0
569;ȹ;0;0
570;Ⱥ;0;0
571;Ȼ;0;0
572;ȼ;0;0
573;Ƚ;0;0
574;Ⱦ;0;0
575;ȿ;0;0
576;ɀ;0;0
577;Ɂ;0;0
578;ɂ;0;0
579;Ƀ;0;0
580;Ʉ;0;0
581;Ʌ;0;0
582;Ɇ;0;0
583;ɇ;0;0
584;Ɉ;0;0
585;ɉ;0;0
586;Ɋ;0;0
587;ɋ;0;0
588;Ɍ;0;0
589;ɍ;0;0
590;Ɏ;0;0
591;ɏ;0;0
592;ɐ;0;0
593;ɑ;0;0
594;ɒ;0;0
595;ɓ;0;0
596;ɔ;0;0
597;ɕ;0;0
598;ɖ;0;0
599;ɗ;0;0
600;ɘ;0;0
601;ə;0;0
602;ɚ;0;0
603;ɛ;0;0
604;ɜ;0;0
605;ɝ;0;0
606;ɞ;0;0
607;ɟ;0;0
608;ɠ;0;0
609;ɡ;0;0
610;ɢ;0;0
611;ɣ;0;0
612;ɤ;0;0
613;ɥ;0;0
614;ɦ;0;0
615;ɧ;0;0
616;ɨ;0;0
617;ɩ;0;0
618;ɪ;0;0
619;ɫ;0;0
620;ɬ;0;0
621;ɭ;0;0
622;ɮ;0;0
623;ɯ;0;0
624;ɰ;0;0
625;ɱ;0;0
626;ɲ;0;0
627;ɳ;0;0
628;ɴ;0;0
629;ɵ;0;0
630;ɶ;0;0
631;ɷ;0;0
632;ɸ;0;0
633;ɹ;0;0
634;ɺ;0;0
635;ɻ;0;0
636;ɼ;0;0
637;ɽ;0;0
638;ɾ;0;0
639;ɿ;0;0
640;ʀ;0;0
641;ʁ;0;0
642;ʂ;0;0
643;ʃ;0;0
644;ʄ;0;0
645;ʅ;0;0
646;ʆ;0;0
647;ʇ;0;0
648;ʈ;0;0
649;ʉ;0;0
650;ʊ;0;0
651;ʋ;0;0
652;ʌ;0;0
653;ʍ;0;0
654;ʎ;0;0
655;ʏ;0;0
656;ʐ;0;0
657;ʑ;0;0
658;ʒ;0;0
659;ʓ;0;0
660;ʔ;0;0
661;ʕ;0;0
662;ʖ;0;0
663;ʗ;0;0
664;ʘ;0;0
665;ʙ;0;0
666;ʚ;0;0
667;ʛ;0;0
668;ʜ;0;0
669;ʝ;0;0
670;ʞ;0;0
671;ʟ;0;0
672;ʠ;0;0
673;ʡ;0;0
674;ʢ;0;0
675;ʣ;0;0
676;ʤ;0;0
677;ʥ;0;0
678;ʦ;0;0
679;ʧ;0;0
680;ʨ;0;0
681;ʩ;0;0
682;ʪ;0;0
683;ʫ;0;0
684;ʬ;0;0
685;ʭ;0;0
686;ʮ;0;0
687;ʯ;0;0
688;ʰ;0;0
689;ʱ;0;0
690;ʲ;0;0
691;ʳ;0;0
692;ʴ;0;0
693;ʵ;0;0
694;ʶ;0;0
695;ʷ;0;0
696;ʸ;0;0
697;ʹ;1;0
698;ʺ;1;0
699;ʻ;0;0
700;ʼ;0;0
701;ʽ;0;0
702;ʾ;0;0
703;ʿ;0;0
704;ˀ;0;0
705;ˁ;0;0
706;˂;1;0
707;˃;1;0
708;˄;1;0
709;˅;1;0
710;ˆ;1;0
711;ˇ;0;0
712;ˈ;1;0
713;ˉ;0;0
714;ˊ;0;0
715;ˋ;0;0
716;ˌ;1;0
717;ˍ;0;0
718;ˎ;1;0
719;ˏ;1;0
720;ː;0;0
721;ˑ;0;0
722;˒;1;0
723;˓;1;0
724;˔;1;0
725;˕;1;0
726;˖;1;0
727;˗;1;0
728;˘;0;0
729;˙;0;0
730;˚;0;0
731;˛;0;0
732;˜;1;0
733;˝;0;0
734;˞;1;0
735;˟;1;0
736;ˠ;0;0
737;ˡ;0;0
738;ˢ;0;0
739;ˣ;0;0
740;ˤ;0;0
741;˥;1;0
742;˦;1;0
743;˧;1;0
744;˨;1;0
745;˩;1;0
746;˪;1;0
747;˫;1;0
748;ˬ;1;0
749;˭;1;0
750;ˮ;0;0
751;˯;1;0
752;˰;1;0
753;˱;1;0
754;˲;1;0
755;˳;1;0
756;˴;1;0
757;˵;1;0
758;˶;1;0
759;˷;1;0
760;˸;1;0
761;˹;1;0
762;˺;1;0
763;˻;1;0
764;˼;1;0
765;˽;1;0
766;˾;1;0
767;˿;1;0
768;̀;1;0
769;́;1;0
770;̂;1;0
771;̃;1;0
772;̄;1;0
773;̅;1;0
774;̆;1;0
775;̇;1;0
776;̈;1;0
777;̉;1;0
778;̊;1;0
779;̋;1;0
780;̌;1;0
781;̍;1;0
782;̎;1;0
783;̏;1;0
784;̐;1;0
785;̑;1;0
786;̒;1;0
787;̓;1;0
788;̔;1;0
789;̕;1;0
790;̖;1;0
791;̗;1;0
792;̘;1;0
793;̙;1;0
794;̚;1;0
795;̛;1;0
796;̜;1;0
797;̝;1;0
798;̞;1;0
799;̟;1;0
800;̠;1;0
801;̡;1;0
802;̢;1;0
803;̣;1;0
804;̤;1;0
805;̥;1;0
806;̦;1;0
807;̧;1;0
808;̨;1;0
809;̩;1;0
810;̪;1;0
811;̫;1;0
812;̬;1;0
813;̭;1;0
814;̮;1;0
815;̯;1;0
816;̰;1;0
817;̱;1;0
818;̲;1;0
819;̳;1;0
820;̴;1;0
821;̵;1;0
822;̶;1;0
823;̷;1;0
824;̸;1;0
825;̹;1;0
826;̺;1;0
827;̻;1;0
828;̼;1;0
829;̽;1;0
830;̾;1;0
831;̿;1;0
832;̀;1;0
833;́;1;0
834;͂;1;0
835;̓;1;0
836;̈́;1;0
837;ͅ;1;0
838;͆;1;0
839;͇;1;0
840;͈;1;0
841;͉;1;0
842;͊;1;0
843;͋;1;0
844;͌;1;0
845;͍;1;0
846;͎;1;0
847;͏;1;0
848;͐;1;0
849;͑;1;0
850;͒;1;0
851;͓;1;0
852;͔;1;0
853;͕;1;0
854;͖;1;0
855;͗;1;0
856;͘;1;0
857;͙;1;0
858;͚;1;0
859;͛;1;0
860;͜;1;0
861;͝;1;0
862;͞;1;0
863;͟;1;0
864;͠;1;0
865;͡;1;0
866;͢;1;0
867;ͣ;1;0
868;ͤ;1;0
869;ͥ;1;0
870;ͦ;1;0
871;ͧ;1;0
872;ͨ;1;0
873;ͩ;1;0
874;ͪ;1;0
875;ͫ;1;0
876;ͬ;1;0
877;ͭ;1;0
878;ͮ;1;0
879;ͯ;1;0
880;Ͱ;0;0
881;ͱ;0;0
882;Ͳ;0;0
883;ͳ;0;0
884;ʹ;1;0
885;͵;1;0
886;Ͷ;0;0
887;ͷ;0;0
888;͸;1;1
889;͹;1;1
890;ͺ;0;0
891;ͻ;0;0
892;ͼ;0;0
893;ͽ;0;0
894;;;1;1
895;Ϳ;1;1
896;΀;1;1
897;΁;1;1
898;΂;1;1
899;΃;1;1
900;΄;1;0
901;΅;1;0
902;Ά;0;0
903;·;1;1
904;Έ;0;0
905;Ή;0;0
906;Ί;0;0
907;΋;1;1
908;Ό;0;0
909;΍;1;1
910;Ύ;0;0
911;Ώ;0;0
912;ΐ;0;0
913;Α;0;0
914;Β;0;0
915;Γ;0;0
916;Δ;0;0
917;Ε;0;0
918;Ζ;0;0
919;Η;0;0
920;Θ;0;0
921;Ι;0;0
922;Κ;0;0
923;Λ;0;0
924;Μ;0;0
925;Ν;0;0
926;Ξ;0;0
927;Ο;0;0
928;Π;0;0
929;Ρ;0;0
930;΢;1;1
931;Σ;0;0
932;Τ;0;0
933;Υ;0;0
934;Φ;0;0
935;Χ;0;0
936;Ψ;0;0
937;Ω;0;0
938;Ϊ;0;0
939;Ϋ;0;0
940;ά;0;0
941;έ;0;0
942;ή;0;0
943;ί;0;0
944;ΰ;0;0
945;α;0;0
946;β;0;0
947;γ;0;0
948;δ;0;0
949;ε;0;0
950;ζ;0;0
951;η;0;0
952;θ;0;0
953;ι;0;0
954;κ;0;0
955;λ;0;0
956;μ;0;0
957;ν;0;0
958;ξ;0;0
959;ο;0;0
960;π;0;0
961;ρ;0;0
962;ς;0;0
963;σ;0;0
964;τ;0;0
965;υ;0;0
966;φ;0;0
967;χ;0;0
968;ψ;0;0
969;ω;0;0
970;ϊ;0;0
971;ϋ;0;0
972;ό;0;0
973;ύ;0;0
974;ώ;0;0
975;Ϗ;0;0
976;ϐ;0;0
977;ϑ;0;0
978;ϒ;0;0
979;ϓ;0;0
980;ϔ;0;0
981;ϕ;0;0
982;ϖ;0;0
983;ϗ;0;0
984;Ϙ;0;0
985;ϙ;0;0
986;Ϛ;0;0
987;ϛ;0;0
988;Ϝ;0;0
989;ϝ;0;0
990;Ϟ;0;0
991;ϟ;0;0
992;Ϡ;0;0
993;ϡ;0;0
994;Ϣ;0;0
995;ϣ;0;0
996;Ϥ;0;0
997;ϥ;0;0
998;Ϧ;0;0
999;ϧ;0;0
1000;Ϩ;0;0
1001;ϩ;0;0
1002;Ϫ;0;0
1003;ϫ;0;0
1004;Ϭ;0;0
1005;ϭ;0;0
1006;Ϯ;0;0
1007;ϯ;0;0
1008;ϰ;0;0
1009;ϱ;0;0
1010;ϲ;0;0
1011;ϳ;0;0
1012;ϴ;0;0
1013;ϵ;0;0
1014;϶;1;0
1015;Ϸ;0;0
1016;ϸ;0;0
1017;Ϲ;0;0
1018;Ϻ;0;0
1019;ϻ;0;0
1020;ϼ;0;0
1021;Ͻ;0;0
1022;Ͼ;0;0
1023;Ͽ;0;0
1024;Ѐ;0;0
1025;Ё;0;0
1026;Ђ;0;0
1027;Ѓ;0;0
1028;Є;0;0
1029;Ѕ;0;0
1030;І;0;0
1031;Ї;0;0
1032;Ј;0;0
1033;Љ;0;0
1034;Њ;0;0
1035;Ћ;0;0
1036;Ќ;0;0
1037;Ѝ;0;0
1038;Ў;0;0
1039;Џ;0;0
1040;А;0;0
1041;Б;0;0
1042;В;0;0
1043;Г;0;0
1044;Д;0;0
1045;Е;0;0
1046;Ж;0;0
1047;З;0;0
1048;И;0;0
1049;Й;0;0
1050;К;0;0
1051;Л;0;0
1052;М;0;0
1053;Н;0;0
1054;О;0;0
1055;П;0;0
1056;Р;0;0
1057;С;0;0
1058;Т;0;0
1059;У;0;0
1060;Ф;0;0
1061;Х;0;0
1062;Ц;0;0
1063;Ч;0;0
1064;Ш;0;0
1065;Щ;0;0
1066;Ъ;0;0
1067;Ы;0;0
1068;Ь;0;0
1069;Э;0;0
1070;Ю;0;0
1071;Я;0;0
1072;а;0;0
1073;б;0;0
1074;в;0;0
1075;г;0;0
1076;д;0;0
1077;е;0;0
1078;ж;0;0
1079;з;0;0
1080;и;0;0
1081;й;0;0
1082;к;0;0
1083;л;0;0
1084;м;0;0
1085;н;0;0
1086;о;0;0
1087;п;0;0
1088;р;0;0
1089;с;0;0
1090;т;0;0
1091;у;0;0
1092;ф;0;0
1093;х;0;0
1094;ц;0;0
1095;ч;0;0
1096;ш;0;0
1097;щ;0;0
1098;ъ;0;0
1099;ы;0;0
1100;ь;0;0
1101;э;0;0
1102;ю;0;0
1103;я;0;0
1104;ѐ;0;0
1105;ё;0;0
1106;ђ;0;0
1107;ѓ;0;0
1108;є;0;0
1109;ѕ;0;0
1110;і;0;0
1111;ї;0;0
1112;ј;0;0
1113;љ;0;0
1114;њ;0;0
1115;ћ;0;0
1116;ќ;0;0
1117;ѝ;0;0
1118;ў;0;0
1119;џ;0;0
1120;Ѡ;0;0
1121;ѡ;0;0
1122;Ѣ;0;0
1123;ѣ;0;0
1124;Ѥ;0;0
1125;ѥ;0;0
1126;Ѧ;0;0
1127;ѧ;0;0
1128;Ѩ;0;0
1129;ѩ;0;0
1130;Ѫ;0;0
1131;ѫ;0;0
1132;Ѭ;0;0
1133;ѭ;0;0
1134;Ѯ;0;0
1135;ѯ;0;0
1136;Ѱ;0;0
1137;ѱ;0;0
1138;Ѳ;0;0
1139;ѳ;0;0
1140;Ѵ;0;0
1141;ѵ;0;0
1142;Ѷ;0;0
1143;ѷ;0;0
1144;Ѹ;0;0
1145;ѹ;0;0
1146;Ѻ;0;0
1147;ѻ;0;0
1148;Ѽ;0;0
1149;ѽ;0;0
1150;Ѿ;0;0
1151;ѿ;0;0
1152;Ҁ;0;0
1153;ҁ;0;0
1154;҂;1;0
1155;҃;1;0
1156;҄;1;0
1157;҅;1;0
1158;҆;1;0
1159;҇;1;0
1160;҈;1;0
1161;҉;1;0
1162;Ҋ;0;0
1163;ҋ;0;0
1164;Ҍ;0;0
1165;ҍ;0;0
1166;Ҏ;0;0
1167;ҏ;0;0
1168;Ґ;0;0
1169;ґ;0;0
1170;Ғ;0;0
1171;ғ;0;0
1172;Ҕ;0;0
1173;ҕ;0;0
1174;Җ;0;0
1175;җ;0;0
1176;Ҙ;0;0
1177;ҙ;0;0
1178;Қ;0;0
1179;қ;0;0
1180;Ҝ;0;0
1181;ҝ;0;0
1182;Ҟ;0;0
1183;ҟ;0;0
1184;Ҡ;0;0
1185;ҡ;0;0
1186;Ң;0;0
1187;ң;0;0
1188;Ҥ;0;0
1189;ҥ;0;0
1190;Ҧ;0;0
1191;ҧ;0;0
1192;Ҩ;0;0
1193;ҩ;0;0
1194;Ҫ;0;0
1195;ҫ;0;0
1196;Ҭ;0;0
1197;ҭ;0;0
1198;Ү;0;0
1199;ү;0;0
1200;Ұ;0;0
1201;ұ;0;0
1202;Ҳ;0;0
1203;ҳ;0;0
1204;Ҵ;0;0
1205;ҵ;0;0
1206;Ҷ;0;0
1207;ҷ;0;0
1208;Ҹ;0;0
1209;ҹ;0;0
1210;Һ;0;0
1211;һ;0;0
1212;Ҽ;0;0
1213;ҽ;0;0
1214;Ҿ;0;0
1215;ҿ;0;0
1216;Ӏ;0;0
1217;Ӂ;0;0
1218;ӂ;0;0
1219;Ӄ;0;0
1220;ӄ;0;0
1221;Ӆ;0;0
1222;ӆ;0;0
1223;Ӈ;0;0
1224;ӈ;0;0
1225;Ӊ;0;0
1226;ӊ;0;0
1227;Ӌ;0;0
1228;ӌ;0;0
1229;Ӎ;0;0
1230;ӎ;0;0
1231;ӏ;0;0
1232;Ӑ;0;0
1233;ӑ;0;0
1234;Ӓ;0;0
1235;ӓ;0;0
1236;Ӕ;0;0
1237;ӕ;0;0
1238;Ӗ;0;0
1239;ӗ;0;0
1240;Ә;0;0
1241;ә;0;0
1242;Ӛ;0;0
1243;ӛ;0;0
1244;Ӝ;0;0
1245;ӝ;0;0
1246;Ӟ;0;0
1247;ӟ;0;0
1248;Ӡ;0;0
1249;ӡ;0;0
1250;Ӣ;0;0
1251;ӣ;0;0
1252;Ӥ;0;0
1253;ӥ;0;0
1254;Ӧ;0;0
1255;ӧ;0;0
1256;Ө;0;0
1257;ө;0;0
1258;Ӫ;0;0
1259;ӫ;0;0
1260;Ӭ;0;0
1261;ӭ;0;0
1262;Ӯ;0;0
1263;ӯ;0;0
1264;Ӱ;0;0
1265;ӱ;0;0
1266;Ӳ;0;0
1267;ӳ;0;0
1268;Ӵ;0;0
1269;ӵ;0;0
1270;Ӷ;0;0
1271;ӷ;0;0
1272;Ӹ;0;0
1273;ӹ;0;0
1274;Ӻ;0;0
1275;ӻ;0;0
1276;Ӽ;0;0
1277;ӽ;0;0
1278;Ӿ;0;0
1279;ӿ;0;0
1280;Ԁ;0;0
1281;ԁ;0;0
1282;Ԃ;0;0
1283;ԃ;0;0
1284;Ԅ;0;0
1285;ԅ;0;0
1286;Ԇ;0;0
1287;ԇ;0;0
1288;Ԉ;0;0
1289;ԉ;0;0
1290;Ԋ;0;0
1291;ԋ;0;0
1292;Ԍ;0;0
1293;ԍ;0;0
1294;Ԏ;0;0
1295;ԏ;0;0
1296;Ԑ;0;0
1297;ԑ;0;0
1298;Ԓ;0;0
1299;ԓ;0;0
1300;Ԕ;0;0
1301;ԕ;0;0
1302;Ԗ;0;0
1303;ԗ;0;0
1304;Ԙ;0;0
1305;ԙ;0;0
1306;Ԛ;0;0
1307;ԛ;0;0
1308;Ԝ;0;0
1309;ԝ;0;0
1310;Ԟ;0;0
1311;ԟ;0;0
1312;Ԡ;0;0
1313;ԡ;0;0
1314;Ԣ;0;0
1315;ԣ;0;0
1316;Ԥ;1;1
1317;ԥ;1;1
1318;Ԧ;1;1
1319;ԧ;1;1
1320;Ԩ;1;1
1321;ԩ;1;1
1322;Ԫ;1;1
1323;ԫ;1;1
1324;Ԭ;1;1
1325;ԭ;1;1
1326;Ԯ;1;1
1327;ԯ;1;1
1328;԰;1;1
1329;Ա;0;0
1330;Բ;0;0
1331;Գ;0;0
1332;Դ;0;0
1333;Ե;0;0
1334;Զ;0;0
1335;Է;0;0
1336;Ը;0;0
1337;Թ;0;0
1338;Ժ;0;0
1339;Ի;0;0
1340;Լ;0;0
1341;Խ;0;0
1342;Ծ;0;0
1343;Կ;0;0
1344;Հ;0;0
1345;Ձ;0;0
1346;Ղ;0;0
1347;Ճ;0;0
1348;Մ;0;0
1349;Յ;0;0
1350;Ն;0;0
1351;Շ;0;0
1352;Ո;0;0
