codepoint;char;nameStartChar;nameChar
190;¾;1;1
191;¿;1;1
192;À;1;1
193;Á;1;1
194;Â;1;1
195;Ã;1;1
196;Ä;1;1
197;Å;1;1
198;Æ;1;1
199;Ç;1;1
200;È;1;1
201;É;1;1
202;Ê;1;1
203;Ë;1;1
204;Ì;1;1
205;Í;1;1
206;Î;1;1
207;Ï;1;1
208;Ð;1;1
209;Ñ;1;1
210;Ò;1;1
211;Ó;1;1
212;Ô;1;1
213;Õ;1;1
214;Ö;1;1
215;×;1;1
216;Ø;1;1
217;Ù;1;1
218;Ú;1;1
219;Û;1;1
220;Ü;1;1
221;Ý;1;1
222;Þ;1;1
223;ß;1;1
224;à;1;1
225;á;1;1
226;â;1;1
227;ã;1;1
228;ä;1;1
229;å;1;1
230;æ;1;1
231;ç;1;1
232;è;1;1
233;é;1;1
234;ê;1;1
235;ë;1;1
236;ì;1;1
237;í;1;1
238;î;1;1
239;ï;1;1
240;ð;1;1
241;ñ;1;1
242;ò;1;1
243;ó;1;1
244;ô;1;1
245;õ;1;1
246;ö;1;1
247;÷;1;1
248;ø;1;1
249;ù;1;1
250;ú;1;1
251;û;1;1
252;ü;1;1
253;ý;1;1
254;þ;1;1
255;ÿ;1;1
256;Ā;1;1
257;ā;1;1
258;Ă;1;1
259;ă;1;1
260;Ą;1;1
261;ą;1;1
262;Ć;1;1
263;ć;1;1
264;Ĉ;1;1
265;ĉ;1;1
266;Ċ;1;1
267;ċ;1;1
268;Č;1;1
269;č;1;1
270;Ď;1;1
271;ď;1;1
272;Đ;1;1
273;đ;1;1
274;Ē;1;1
275;ē;1;1
276;Ĕ;1;1
277;ĕ;1;1
278;Ė;1;1
279;ė;1;1
280;Ę;1;1
281;ę;1;1
282;Ě;1;1
283;ě;1;1
284;Ĝ;1;1
285;ĝ;1;1
286;Ğ;1;1
287;ğ;1;1
288;Ġ;1;1
289;ġ;1;1
290;Ģ;1;1
291;ģ;1;1
292;Ĥ;1;1
293;ĥ;1;1
294;Ħ;1;1
295;ħ;1;1
296;Ĩ;1;1
297;ĩ;1;1
298;Ī;1;1
299;ī;1;1
300;Ĭ;1;1
301;ĭ;1;1
302;Į;1;1
303;į;1;1
304;İ;1;1
305;ı;1;1
306;Ĳ;1;1
307;ĳ;1;1
308;Ĵ;1;1
309;ĵ;1;1
310;Ķ;1;1
311;ķ;1;1
312;ĸ;1;1
313;Ĺ;1;1
314;ĺ;1;1
315;Ļ;1;1
316;ļ;1;1
317;Ľ;1;1
318;ľ;1;1
319;Ŀ;1;1
320;ŀ;1;1
321;Ł;1;1
322;ł;1;1
323;Ń;1;1
324;ń;1;1
325;Ņ;1;1
326;ņ;1;1
327;Ň;1;1
328;ň;1;1
329;ŉ;1;1
330;Ŋ;1;1
331;ŋ;1;1
332;Ō;1;1
333;ō;1;1
334;Ŏ;1;1
335;ŏ;1;1
336;Ő;1;1
337;ő;1;1
338;Œ;1;1
339;œ;1;1
340;Ŕ;1;1
341;ŕ;1;1
342;Ŗ;1;1
343;ŗ;1;1
344;Ř;1;1
345;ř;1;1
346;Ś;1;1
347;ś;1;1
348;Ŝ;1;1
349;ŝ;1;1
350;Ş;1;1
351;ş;1;1
352;Š;1;1
353;š;1;1
354;Ţ;1;1
355;ţ;1;1
356;Ť;1;1
357;ť;1;1
358;Ŧ;1;1
359;ŧ;1;1
360;Ũ;1;1
361;ũ;1;1
362;Ū;1;1
363;ū;1;1
364;Ŭ;1;1
365;ŭ;1;1
366;Ů;1;1
367;ů;1;1
368;Ű;1;1
369;ű;1;1
370;Ų;1;1
371;ų;1;1
372;Ŵ;1;1
373;ŵ;1;1
374;Ŷ;1;1
375;ŷ;1;1
376;Ÿ;1;1
377;Ź;1;1
378;ź;1;1
379;Ż;1;1
380;ż;1;1
381;Ž;1;1
382;ž;1;1
383;ſ;1;1
384;ƀ;1;1
385;Ɓ;1;1
386;Ƃ;1;1
387;ƃ;1;1
388;Ƅ;1;1
389;ƅ;1;1
390;Ɔ;1;1
391;Ƈ;1;1
392;ƈ;1;1
393;Ɖ;1;1
394;Ɗ;1;1
395;Ƌ;1;1
396;ƌ;1;1
397;ƍ;1;1
398;Ǝ;1;1
399;Ə;1;1
400;Ɛ;1;1
401;Ƒ;1;1
402;ƒ;1;1
403;Ɠ;1;1
404;Ɣ;1;1
405;ƕ;1;1
406;Ɩ;1;1
407;Ɨ;1;1
408;Ƙ;1;1
409;ƙ;1;1
410;ƚ;1;1
411;ƛ;1;1
412;Ɯ;1;1
413;Ɲ;1;1
414;ƞ;1;1
415;Ɵ;1;1
416;Ơ;1;1
417;ơ;1;1
418;Ƣ;1;1
419;ƣ;1;1
420;Ƥ;1;1
421;ƥ;1;1
422;Ʀ;1;1
423;Ƨ;1;1
424;ƨ;1;1
425;Ʃ;1;1
426;ƪ;1;1
427;ƫ;1;1
428;Ƭ;1;1
429;ƭ;1;1
430;Ʈ;1;1
431;Ư;1;1
432;ư;1;1
433;Ʊ;1;1
434;Ʋ;1;1
435;Ƴ;1;1
436;ƴ;1;1
437;Ƶ;1;1
438;ƶ;1;1
439;Ʒ;1;1
440;Ƹ;1;1
441;ƹ;1;1
442;ƺ;1;1
443;ƻ;1;1
444;Ƽ;1;1
445;ƽ;1;1
446;ƾ;1;1
447;ƿ;1;1
448;ǀ;1;1
449;ǁ;1;1
450;ǂ;1;1
451;ǃ;1;1
452;Ǆ;1;1
453;ǅ;1;1
454;ǆ;1;1
455;Ǉ;1;1
456;ǈ;1;1
457;ǉ;1;1
458;Ǌ;1;1
459;ǋ;1;1
460;ǌ;1;1
461;Ǎ;1;1
462;ǎ;1;1
463;Ǐ;1;1
464;ǐ;1;1
465;Ǒ;1;1
466;ǒ;1;1
467;Ǔ;1;1
468;ǔ;1;1
469;Ǖ;1;1
470;ǖ;1;1
471;Ǘ;1;1
472;ǘ;1;1
473;Ǚ;1;1
474;ǚ;1;1
475;Ǜ;1;1
476;ǜ;1;1
477;ǝ;1;1
478;Ǟ;1;1
479;ǟ;1;1
480;Ǡ;1;1
481;ǡ;1;1
482;Ǣ;1;1
483;ǣ;1;1
484;Ǥ;1;1
485;ǥ;1;1
486;Ǧ;1;1
487;ǧ;1;1
488;Ǩ;1;1
489;ǩ;1;1
490;Ǫ;1;1
491;ǫ;1;1
492;Ǭ;1;1
493;ǭ;1;1
494;Ǯ;1;1
495;ǯ;1;1
496;ǰ;1;1
497;Ǳ;1;1
498;ǲ;1;1
499;ǳ;1;1
500;Ǵ;1;1
501;ǵ;1;1
502;Ƕ;1;1
503;Ƿ;1;1
504;Ǹ;1;1
505;ǹ;1;1
506;Ǻ;1;1
507;ǻ;1;1
508;Ǽ;1;1
509;ǽ;1;1
510;Ǿ;1;1
511;ǿ;1;1
512;Ȁ;1;1
513;ȁ;1;1
514;Ȃ;1;1
515;ȃ;1;1
516;Ȅ;1;1
517;ȅ;1;1
518;Ȇ;1;1
519;ȇ;1;1
520;Ȉ;1;1
521;ȉ;1;1
522;Ȋ;1;1
523;ȋ;1;1
524;Ȍ;1;1
525;ȍ;1;1
526;Ȏ;1;1
527;ȏ;1;1
528;Ȑ;1;1
529;ȑ;1;1
530;Ȓ;1;1
531;ȓ;1;1
532;Ȕ;1;1
533;ȕ;1;1
534;Ȗ;1;1
535;ȗ;1;1
536;Ș;1;1
537;ș;1;1
538;Ț;1;1
539;ț;1;1
540;Ȝ;1;1
541;ȝ;1;1
542;Ȟ;1;1
543;ȟ;1;1
544;Ƞ;1;1
545;ȡ;1;1
546;Ȣ;1;1
547;ȣ;1;1
548;Ȥ;1;1
549;ȥ;1;1
550;Ȧ;1;1
551;ȧ;1;1
552;Ȩ;1;1
553;ȩ;1;1
554;Ȫ;1;1
555;ȫ;1;1
556;Ȭ;1;1
557;ȭ;1;1
558;Ȯ;1;1
559;ȯ;1;1
560;Ȱ;1;1
561;ȱ;1;1
562;Ȳ;1;1
563;ȳ;1;1
564;ȴ;1;1
565;ȵ;1;1
566;ȶ;1;1
567;ȷ;1;1
568;ȸ;1;1
569;ȹ;1;1
570;Ⱥ;1;1
571;Ȼ;1;1
572;ȼ;1;1
573;Ƚ;1;1
574;Ⱦ;1;1
575;ȿ;1;1
576;ɀ;1;1
577;Ɂ;1;1
578;ɂ;1;1
579;Ƀ;1;1
580;Ʉ;1;1
581;Ʌ;1;1
582;Ɇ;1;1
583;ɇ;1;1
584;Ɉ;1;1
585;ɉ;1;1
586;Ɋ;1;1
587;ɋ;1;1
588;Ɍ;1;1
589;ɍ;1;1
590;Ɏ;1;1
591;ɏ;1;1
592;ɐ;1;1
593;ɑ;1;1
594;ɒ;1;1
595;ɓ;1;1
596;ɔ;1;1
597;ɕ;1;1
598;ɖ;1;1
599;ɗ;1;1
600;ɘ;1;1
601;ə;1;1
602;ɚ;1;1
603;ɛ;1;1
604;ɜ;1;1
605;ɝ;1;1
606;ɞ;1;1
607;ɟ;1;1
608;ɠ;1;1
609;ɡ;1;1
610;ɢ;1;1
611;ɣ;1;1
612;ɤ;1;1
613;ɥ;1;1
614;ɦ;1;1
615;ɧ;1;1
616;ɨ;1;1
617;ɩ;1;1
618;ɪ;1;1
619;ɫ;1;1
620;ɬ;1;1
621;ɭ;1;1
622;ɮ;1;1
623;ɯ;1;1
624;ɰ;1;1
625;ɱ;1;1
626;ɲ;1;1
627;ɳ;1;1
628;ɴ;1;1
629;ɵ;1;1
630;ɶ;1;1
631;ɷ;1;1
632;ɸ;1;1
633;ɹ;1;1
634;ɺ;1;1
635;ɻ;1;1
636;ɼ;1;1
637;ɽ;1;1
638;ɾ;1;1
639;ɿ;1;1
640;ʀ;1;1
641;ʁ;1;1
642;ʂ;1;1
643;ʃ;1;1
644;ʄ;1;1
645;ʅ;1;1
646;ʆ;1;1
647;ʇ;1;1
648;ʈ;1;1
649;ʉ;1;1
650;ʊ;1;1
651;ʋ;1;1
652;ʌ;1;1
653;ʍ;1;1
654;ʎ;1;1
655;ʏ;1;1
656;ʐ;1;1
657;ʑ;1;1
658;ʒ;1;1
659;ʓ;1;1
660;ʔ;1;1
661;ʕ;1;1
662;ʖ;1;1
663;ʗ;1;1
664;ʘ;1;1
665;ʙ;1;1
666;ʚ;1;1
667;ʛ;1;1
668;ʜ;1;1
669;ʝ;1;1
670;ʞ;1;1
671;ʟ;1;1
672;ʠ;1;1
673;ʡ;1;1
674;ʢ;1;1
675;ʣ;1;1
676;ʤ;1;1
677;ʥ;1;1
678;ʦ;1;1
679;ʧ;1;1
680;ʨ;1;1
681;ʩ;1;1
682;ʪ;1;1
683;ʫ;1;1
684;ʬ;1;1
685;ʭ;1;1
686;ʮ;1;1
687;ʯ;1;1
688;ʰ;1;1
689;ʱ;1;1
690;ʲ;1;1
691;ʳ;1;1
692;ʴ;1;1
693;ʵ;1;1
694;ʶ;1;1
695;ʷ;1;1
696;ʸ;1;1
697;ʹ;0;1
698;ʺ;0;1
699;ʻ;1;1
700;ʼ;1;1
701;ʽ;1;1
702;ʾ;1;1
703;ʿ;1;1
704;ˀ;1;1
705;ˁ;1;1
706;˂;0;1
707;˃;0;1
708;˄;0;1
709;˅;0;1
710;ˆ;0;1
711;ˇ;1;1
712;ˈ;0;1
713;ˉ;1;1
714;ˊ;1;1
715;ˋ;1;1
716;ˌ;0;1
717;ˍ;1;1
718;ˎ;0;1
719;ˏ;0;1
720;ː;1;1
721;ˑ;1;1
722;˒;0;1
723;˓;0;1
724;˔;0;1
725;˕;0;1
726;˖;0;1
727;˗;0;1
728;˘;1;1
729;˙;1;1
730;˚;1;1
731;˛;1;1
732;˜;0;1
733;˝;1;1
734;˞;0;1
735;˟;0;1
736;ˠ;1;1
737;ˡ;1;1
738;ˢ;1;1
739;ˣ;1;1
740;ˤ;1;1
741;˥;0;1
742;˦;0;1
743;˧;0;1
744;˨;0;1
745;˩;0;1
746;˪;0;1
747;˫;0;1
748;ˬ;0;1
749;˭;0;1
750;ˮ;1;1
751;˯;0;1
752;˰;0;1
753;˱;0;1
754;˲;0;1
755;˳;0;1
756;˴;0;1
757;˵;0;1
758;˶;0;1
759;˷;0;1
760;˸;0;1
761;˹;0;1
762;˺;0;1
763;˻;0;1
764;˼;0;1
765;˽;0;1
766;˾;0;1
767;˿;0;1
768;̀;0;1
769;́;0;1
770;̂;0;1
771;̃;0;1
772;̄;0;1
773;̅;0;1
774;̆;0;1
775;̇;0;1
776;̈;0;1
777;̉;0;1
778;̊;0;1
779;̋;0;1
780;̌;0;1
781;̍;0;1
782;̎;0;1
783;̏;0;1
784;̐;0;1
785;̑;0;1
786;̒;0;1
787;̓;0;1
788;̔;0;1
789;̕;0;1
790;̖;0;1
791;̗;0;1
792;̘;0;1
793;̙;0;1
794;̚;0;1
795;̛;0;1
796;̜;0;1
797;̝;0;1
798;̞;0;1
799;̟;0;1
800;̠;0;1
801;̡;0;1
802;̢;0;1
803;̣;0;1
804;̤;0;1
805;̥;0;1
806;̦;0;1
807;̧;0;1
808;̨;0;1
809;̩;0;1
810;̪;0;1
811;̫;0;1
812;̬;0;1
813;̭;0;1
814;̮;0;1
815;̯;0;1
816;̰;0;1
817;̱;0;1
818;̲;0;1
819;̳;0;1
820;̴;0;1
821;̵;0;1
822;̶;0;1
823;̷;0;1
824;̸;0;1
825;̹;0;1
826;̺;0;1
827;̻;0;1
828;̼;0;1
829;̽;0;1
830;̾;0;1
831;̿;0;1
832;̀;0;1
833;́;0;1
834;͂;0;1
835;̓;0;1
836;̈́;0;1
837;ͅ;0;1
838;͆;0;1
839;͇;0;1
840;͈;0;1
841;͉;0;1
842;͊;0;1
843;͋;0;1
844;͌;0;1
845;͍;0;1
846;͎;0;1
847;͏;0;1
848;͐;0;1
849;͑;0;1
850;͒;0;1
851;͓;0;1
852;͔;0;1
853;͕;0;1
854;͖;0;1
855;͗;0;1
856;͘;0;1
857;͙;0;1
858;͚;0;1
859;͛;0;1
860;͜;0;1
861;͝;0;1
862;͞;0;1
863;͟;0;1
864;͠;0;1
865;͡;0;1
866;͢;0;1
867;ͣ;0;1
868;ͤ;0;1
869;ͥ;0;1
870;ͦ;0;1
871;ͧ;0;1
872;ͨ;0;1
873;ͩ;0;1
874;ͪ;0;1
875;ͫ;0;1
876;ͬ;0;1
877;ͭ;0;1
878;ͮ;0;1
879;ͯ;0;1
880;Ͱ;1;1
881;ͱ;1;1
882;Ͳ;1;1
883;ͳ;1;1
884;ʹ;0;1
885;͵;0;1
886;Ͷ;1;1
887;ͷ;1;1
888;͸;0;0
889;͹;0;0
890;ͺ;1;1
891;ͻ;1;1
892;ͼ;1;1
893;ͽ;1;1
894;;;0;0
895;Ϳ;0;0
896;΀;0;0
897;΁;0;0
898;΂;0;0
899;΃;0;0
900;΄;0;1
901;΅;0;1
902;Ά;1;1
903;·;0;0
904;Έ;1;1
905;Ή;1;1
906;Ί;1;1
907;΋;0;0
908;Ό;1;1
909;΍;0;0
910;Ύ;1;1
911;Ώ;1;1
912;ΐ;1;1
913;Α;1;1
914;Β;1;1
915;Γ;1;1
916;Δ;1;1
917;Ε;1;1
918;Ζ;1;1
919;Η;1;1
920;Θ;1;1
921;Ι;1;1
922;Κ;1;1
923;Λ;1;1
924;Μ;1;1
925;Ν;1;1
926;Ξ;1;1
927;Ο;1;1
928;Π;1;1
929;Ρ;1;1
930;΢;0;0
931;Σ;1;1
932;Τ;1;1
933;Υ;1;1
934;Φ;1;1
935;Χ;1;1
936;Ψ;1;1
937;Ω;1;1
938;Ϊ;1;1
939;Ϋ;1;1
940;ά;1;1
941;έ;1;1
942;ή;1;1
943;ί;1;1
944;ΰ;1;1
945;α;1;1
946;β;1;1
947;γ;1;1
948;δ;1;1
949;ε;1;1
950;ζ;1;1
951;η;1;1
952;θ;1;1
953;ι;1;1
954;κ;1;1
955;λ;1;1
956;μ;1;1
957;ν;1;1
958;ξ;1;1
959;ο;1;1
960;π;1;1
961;ρ;1;1
962;ς;1;1
963;σ;1;1
964;τ;1;1
965;υ;1;1
966;φ;1;1
967;χ;1;1
968;ψ;1;1
969;ω;1;1
970;ϊ;1;1
971;ϋ;1;1
972;ό;1;1
973;ύ;1;1
974;ώ;1;1
975;Ϗ;1;1
976;ϐ;1;1
977;ϑ;1;1
978;ϒ;1;1
979;ϓ;1;1
980;ϔ;1;1
981;ϕ;1;1
982;ϖ;1;1
983;ϗ;1;1
984;Ϙ;1;1
985;ϙ;1;1
986;Ϛ;1;1
987;ϛ;1;1
988;Ϝ;1;1
989;ϝ;1;1
990;Ϟ;1;1
991;ϟ;1;1
992;Ϡ;1;1
993;ϡ;1;1
994;Ϣ;1;1
995;ϣ;1;1
996;Ϥ;1;1
997;ϥ;1;1
998;Ϧ;1;1
999;ϧ;1;1
1000;Ϩ;1;1
1001;ϩ;1;1
1002;Ϫ;1;1
1003;ϫ;1;1
1004;Ϭ;1;1
1005;ϭ;1;1
1006;Ϯ;1;1
1007;ϯ;1;1
1008;ϰ;1;1
1009;ϱ;1;1
1010;ϲ;1;1
1011;ϳ;1;1
1012;ϴ;1;1
1013;ϵ;1;1
1014;϶;0;1
1015;Ϸ;1;1
1016;ϸ;1;1
1017;Ϲ;1;1
1018;Ϻ;1;1
1019;ϻ;1;1
1020;ϼ;1;1
1021;Ͻ;1;1
1022;Ͼ;1;1
1023;Ͽ;1;1
1024;Ѐ;1;1
1025;Ё;1;1
1026;Ђ;1;1
1027;Ѓ;1;1
1028;Є;1;1
1029;Ѕ;1;1
1030;І;1;1
1031;Ї;1;1
1032;Ј;1;1
1033;Љ;1;1
1034;Њ;1;1
1035;Ћ;1;1
1036;Ќ;1;1
1037;Ѝ;1;1
1038;Ў;1;1
1039;Џ;1;1
1040;А;1;1
1041;Б;1;1
1042;В;1;1
1043;Г;1;1
1044;Д;1;1
1045;Е;1;1
1046;Ж;1;1
1047;З;1;1
1048;И;1;1
1049;Й;1;1
1050;К;1;1
1051;Л;1;1
1052;М;1;1
1053;Н;1;1
1054;О;1;1
1055;П;1;1
1056;Р;1;1
1057;С;1;1
1058;Т;1;1
1059;У;1;1
1060;Ф;1;1
1061;Х;1;1
1062;Ц;1;1
1063;Ч;1;1
1064;Ш;1;1
1065;Щ;1;1
1066;Ъ;1;1
1067;Ы;1;1
1068;Ь;1;1
1069;Э;1;1
1070;Ю;1;1
1071;Я;1;1
1072;а;1;1
1073;б;1;1
1074;в;1;1
1075;г;1;1
1076;д;1;1
1077;е;1;1
1078;ж;1;1
1079;з;1;1
1080;и;1;1
1081;й;1;1
1082;к;1;1
1083;л;1;1
1084;м;1;1
1085;н;1;1
1086;о;1;1
1087;п;1;1
1088;р;1;1
1089;с;1;1
1090;т;1;1
1091;у;1;1
1092;ф;1;1
1093;х;1;1
1094;ц;1;1
1095;ч;1;1
1096;ш;1;1
1097;щ;1;1
1098;ъ;1;1
1099;ы;1;1
1100;ь;1;1
1101;э;1;1
1102;ю;1;1
1103;я;1;1
1104;ѐ;1;1
1105;ё;1;1
1106;ђ;1;1
1107;ѓ;1;1
1108;є;1;1
1109;ѕ;1;1
1110;і;1;1
1111;ї;1;1
1112;ј;1;1
1113;љ;1;1
1114;њ;1;1
1115;ћ;1;1
1116;ќ;1;1
1117;ѝ;1;1
1118;ў;1;1
1119;џ;1;1
1120;Ѡ;1;1
1121;ѡ;1;1
1122;Ѣ;1;1
1123;ѣ;1;1
1124;Ѥ;1;1
1125;ѥ;1;1
1126;Ѧ;1;1
1127;ѧ;1;1
1128;Ѩ;1;1
1129;ѩ;1;1
1130;Ѫ;1;1
1131;ѫ;1;1
1132;Ѭ;1;1
1133;ѭ;1;1
1134;Ѯ;1;1
1135;ѯ;1;1
1136;Ѱ;1;1
1137;ѱ;1;1
1138;Ѳ;1;1
1139;ѳ;1;1
1140;Ѵ;1;1
1141;ѵ;1;1
1142;Ѷ;1;1
1143;ѷ;1;1
1144;Ѹ;1;1
1145;ѹ;1;1
1146;Ѻ;1;1
1147;ѻ;1;1
1148;Ѽ;1;1
1149;ѽ;1;1
1150;Ѿ;1;1
1151;ѿ;1;1
1152;Ҁ;1;1
1153;ҁ;1;1
1154;҂;0;1
1155;҃;0;1
1156;҄;0;1
1157;҅;0;1
1158;҆;0;1
1159;҇;0;1
1160;҈;0;1
1161;҉;0;1
1162;Ҋ;1;1
1163;ҋ;1;1
1164;Ҍ;1;1
1165;ҍ;1;1
1166;Ҏ;1;1
1167;ҏ;1;1
1168;Ґ;1;1
1169;ґ;1;1
1170;Ғ;1;1
1171;ғ;1;1
1172;Ҕ;1;1
1173;ҕ;1;1
1174;Җ;1;1
1175;җ;1;1
1176;Ҙ;1;1
1177;ҙ;1;1
1178;Қ;1;1
1179;қ;1;1
1180;Ҝ;1;1
1181;ҝ;1;1
1182;Ҟ;1;1
1183;ҟ;1;1
1184;Ҡ;1;1
1185;ҡ;1;1
1186;Ң;1;1
1187;ң;1;1
1188;Ҥ;1;1
1189;ҥ;1;1
1190;Ҧ;1;1
1191;ҧ;1;1
1192;Ҩ;1;1
1193;ҩ;1;1
1194;Ҫ;1;1
1195;ҫ;1;1
1196;Ҭ;1;1
1197;ҭ;1;1
1198;Ү;1;1
1199;ү;1;1
1200;Ұ;1;1
1201;ұ;1;1
1202;Ҳ;1;1
1203;ҳ;1;1
1204;Ҵ;1;1
1205;ҵ;1;1
1206;Ҷ;1;1
1207;ҷ;1;1
1208;Ҹ;1;1
1209;ҹ;1;1
1210;Һ;1;1
1211;һ;1;1
1212;Ҽ;1;1
1213;ҽ;1;1
1214;Ҿ;1;1
1215;ҿ;1;1
1216;Ӏ;1;1
1217;Ӂ;1;1
1218;ӂ;1;1
1219;Ӄ;1;1
1220;ӄ;1;1
1221;Ӆ;1;1
1222;ӆ;1;1
1223;Ӈ;1;1
1224;ӈ;1;1
1225;Ӊ;1;1
1226;ӊ;1;1
1227;Ӌ;1;1
1228;ӌ;1;1
1229;Ӎ;1;1
1230;ӎ;1;1
1231;ӏ;1;1
1232;Ӑ;1;1
1233;ӑ;1;1
1234;Ӓ;1;1
1235;ӓ;1;1
1236;Ӕ;1;1
1237;ӕ;1;1
1238;Ӗ;1;1
1239;ӗ;1;1
1240;Ә;1;1
1241;ә;1;1
1242;Ӛ;1;1
1243;ӛ;1;1
1244;Ӝ;1;1
1245;ӝ;1;1
1246;Ӟ;1;1
1247;ӟ;1;1
1248;Ӡ;1;1
1249;ӡ;1;1
1250;Ӣ;1;1
1251;ӣ;1;1
1252;Ӥ;1;1
1253;ӥ;1;1
1254;Ӧ;1;1
1255;ӧ;1;1
1256;Ө;1;1
1257;ө;1;1
1258;Ӫ;1;1
1259;ӫ;1;1
1260;Ӭ;1;1
1261;ӭ;1;1
1262;Ӯ;1;1
1263;ӯ;1;1
1264;Ӱ;1;1
1265;ӱ;1;1
1266;Ӳ;1;1
1267;ӳ;1;1
1268;Ӵ;1;1
1269;ӵ;1;1
1270;Ӷ;1;1
1271;ӷ;1;1
1272;Ӹ;1;1
1273;ӹ;1;1
1274;Ӻ;1;1
1275;ӻ;1;1
1276;Ӽ;1;1
1277;ӽ;1;1
1278;Ӿ;1;1
1279;ӿ;1;1
1280;Ԁ;1;1
1281;ԁ;1;1
1282;Ԃ;1;1
1283;ԃ;1;1
1284;Ԅ;1;1
1285;ԅ;1;1
1286;Ԇ;1;1
1287;ԇ;1;1
1288;Ԉ;1;1
1289;ԉ;1;1
1290;Ԋ;1;1
1291;ԋ;1;1
1292;Ԍ;1;1
1293;ԍ;1;1
1294;Ԏ;1;1
1295;ԏ;1;1
1296;Ԑ;1;1
1297;ԑ;1;1
1298;Ԓ;1;1
1299;ԓ;1;1
1300;Ԕ;1;1
1301;ԕ;1;1
1302;Ԗ;1;1
1303;ԗ;1;1
1304;Ԙ;1;1
1305;ԙ;1;1
1306;Ԛ;1;1
1307;ԛ;1;1
1308;Ԝ;1;1
1309;ԝ;1;1
1310;Ԟ;1;1
1311;ԟ;1;1
1312;Ԡ;1;1
1313;ԡ;1;1
1314;Ԣ;1;1
1315;ԣ;1;1
1316;Ԥ;0;0
1317;ԥ;0;0
1318;Ԧ;0;0
1319;ԧ;0;0
1320;Ԩ;0;0
1321;ԩ;0;0
1322;Ԫ;0;0
1323;ԫ;0;0
1324;Ԭ;0;0
1325;ԭ;0;0
1326;Ԯ;0;0
1327;ԯ;0;0
1328;԰;0;0
1329;Ա;1;1
1330;Բ;1;1
1331;Գ;1;1
1332;Դ;1;1
1333;Ե;1;1
1334;Զ;1;1
1335;Է;1;1
1336;Ը;1;1
1337;Թ;1;1
1338;Ժ;1;1
1339;Ի;1;1
1340;Լ;1;1
1341;Խ;1;1
1342;Ծ;1;1
1343;Կ;1;1
1344;Հ;1;1
1345;Ձ;1;1
1346;Ղ;1;1
1347;Ճ;1;1
1348;Մ;1;1
1349;Յ;1;1
1350;Ն;1;1
1351;Շ;1;1
1352;Ո;1;1
1353;Չ;1;1
